name;dt_utc;temp;clouds;wind_speed;wind_deg;wind_gust;weather_id;weather_main;weather_description
current;14.04.2022 09:03:19;12.2;100;4.06;260;5.93;804;Clouds;Bedeckt
hourly;14.04.2022 09:00:00;12.2;100;4.06;260;5.93;804;Clouds;Bedeckt
hourly;14.04.2022 10:00:00;12.39;100;4.58;253;6.3;804;Clouds;Bedeckt
hourly;14.04.2022 11:00:00;12.64;100;4.98;258;6.6;804;Clouds;Bedeckt
hourly;14.04.2022 12:00:00;13.07;100;4.84;270;6.41;500;Rain;Leichter Regen
hourly;14.04.2022 13:00:00;13.82;100;4.68;276;6.65;804;Clouds;Bedeckt
hourly;14.04.2022 14:00:00;14.65;94;5.05;284;7;804;Clouds;Bedeckt
hourly;14.04.2022 15:00:00;14;74;4.72;289;6.96;803;Clouds;Überwiegend bewölkt
hourly;14.04.2022 16:00:00;13.14;81;4.13;296;7.3;803;Clouds;Überwiegend bewölkt
hourly;14.04.2022 17:00:00;11.65;84;3.31;301;7.19;803;Clouds;Überwiegend bewölkt
hourly;14.04.2022 18:00:00;9.37;85;2.96;302;4.7;804;Clouds;Bedeckt
hourly;14.04.2022 19:00:00;8;26;3.02;296;5.13;802;Clouds;Mäßig bewölkt
hourly;14.04.2022 20:00:00;7.53;48;3.61;294;8.29;802;Clouds;Mäßig bewölkt
hourly;14.04.2022 21:00:00;7.49;55;4.25;300;8.84;803;Clouds;Überwiegend bewölkt
hourly;14.04.2022 22:00:00;7.05;62;4.34;295;8.6;803;Clouds;Überwiegend bewölkt
hourly;14.04.2022 23:00:00;7.41;70;4.58;292;7.73;803;Clouds;Überwiegend bewölkt
hourly;15.04.2022 00:00:00;7.14;75;4.81;294;8.16;803;Clouds;Überwiegend bewölkt
hourly;15.04.2022 01:00:00;6.91;100;4.85;294;8.54;804;Clouds;Bedeckt
hourly;15.04.2022 02:00:00;6.97;100;4.94;301;8.95;804;Clouds;Bedeckt
hourly;15.04.2022 03:00:00;7.24;100;5.13;312;9.64;804;Clouds;Bedeckt
hourly;15.04.2022 04:00:00;7.21;100;5.47;321;9.95;804;Clouds;Bedeckt
hourly;15.04.2022 05:00:00;6.95;100;5.77;327;10.5;804;Clouds;Bedeckt
hourly;15.04.2022 06:00:00;7.02;99;5.82;337;10.17;804;Clouds;Bedeckt
hourly;15.04.2022 07:00:00;6.96;100;5.21;6;7.96;804;Clouds;Bedeckt
hourly;15.04.2022 08:00:00;6.86;100;4.81;34;6.94;804;Clouds;Bedeckt
hourly;15.04.2022 09:00:00;7.19;100;5.28;47;6.66;804;Clouds;Bedeckt
hourly;15.04.2022 10:00:00;7.12;100;5.42;48;6.7;804;Clouds;Bedeckt
hourly;15.04.2022 11:00:00;6.79;100;5.12;48;6.6;804;Clouds;Bedeckt
hourly;15.04.2022 12:00:00;6.6;100;4.99;51;6.5;804;Clouds;Bedeckt
hourly;15.04.2022 13:00:00;6.86;99;4.97;53;6.47;804;Clouds;Bedeckt
hourly;15.04.2022 14:00:00;6.99;99;4.88;50;6.18;804;Clouds;Bedeckt
hourly;15.04.2022 15:00:00;6.53;99;4.78;53;5.91;804;Clouds;Bedeckt
hourly;15.04.2022 16:00:00;6.1;100;4.11;54;5.92;804;Clouds;Bedeckt
hourly;15.04.2022 17:00:00;5.87;100;4.03;54;6.28;804;Clouds;Bedeckt
hourly;15.04.2022 18:00:00;5.55;100;3.91;56;6.44;804;Clouds;Bedeckt
hourly;15.04.2022 19:00:00;5.28;100;3.55;61;6.21;804;Clouds;Bedeckt
hourly;15.04.2022 20:00:00;4.98;100;3.05;60;6.33;804;Clouds;Bedeckt
hourly;15.04.2022 21:00:00;4.44;96;2.09;72;4.58;804;Clouds;Bedeckt
hourly;15.04.2022 22:00:00;2.62;73;1.89;74;2.07;803;Clouds;Überwiegend bewölkt
hourly;15.04.2022 23:00:00;1.94;59;2.48;67;2.61;803;Clouds;Überwiegend bewölkt
hourly;16.04.2022 00:00:00;1.53;50;1.87;57;2.06;802;Clouds;Mäßig bewölkt
hourly;16.04.2022 01:00:00;1.33;5;1.57;51;1.69;800;Clear;Klarer Himmel
hourly;16.04.2022 02:00:00;1.08;4;1.31;47;1.39;800;Clear;Klarer Himmel
hourly;16.04.2022 03:00:00;0.84;5;1.22;55;1.36;800;Clear;Klarer Himmel
hourly;16.04.2022 04:00:00;0.77;6;0.94;42;1.07;800;Clear;Klarer Himmel
hourly;16.04.2022 05:00:00;1.74;8;1.5;358;1.75;800;Clear;Klarer Himmel
hourly;16.04.2022 06:00:00;4.03;12;1.74;354;2.74;801;Clouds;Ein paar Wolken
hourly;16.04.2022 07:00:00;5.8;45;2.63;351;3.99;802;Clouds;Mäßig bewölkt
hourly;16.04.2022 08:00:00;7.07;46;3.28;352;4.26;802;Clouds;Mäßig bewölkt
daily;14.04.2022 11:00:00;11.07;100;5.05;284;9.29;502;Rain;Starker Regen
daily;15.04.2022 11:00:00;5.925;100;5.82;337;10.5;804;Clouds;Bedeckt
daily;16.04.2022 11:00:00;4.865;57;3.98;9;4.7;803;Clouds;Überwiegend bewölkt
daily;17.04.2022 11:00:00;5.535;100;2.62;61;2.88;804;Clouds;Bedeckt
daily;18.04.2022 11:00:00;5.96;9;6.08;75;8.83;800;Clear;Klarer Himmel
daily;19.04.2022 11:00:00;3.475;79;4.66;86;8.12;803;Clouds;Überwiegend bewölkt
daily;20.04.2022 11:00:00;8.83;16;2.98;18;5.18;801;Clouds;Ein paar Wolken
daily;21.04.2022 11:00:00;9.48;100;4.42;101;9.43;500;Rain;Leichter Regen

